,label,dimension1,dimension2,dimension3,dimension4
0,0.0,-0.7063357559739385,-0.25319275285704296,-0.024092693181920415,0.01326312826583809
1,0.0,-0.48497680177177077,-0.008822891420635217,0.2804820475745331,0.07589823854013526
2,0.0,-0.5211722661289452,-0.18918722167748148,-0.19621673624281571,-0.01578385524471121
3,0.0,-0.8216436634449241,-0.5809055122572583,-0.08110971721711141,0.012235323224575122
4,0.0,-0.20254638157095553,-0.059466574015118956,-0.30023994119551,-0.10205129526055941
5,0.0,-0.6081901521202474,-0.4875191910543824,0.07543323207993638,-0.18415227426049455
6,0.0,-0.5440473986436274,-0.3001964969263838,0.10507462094056096,-0.043006025065261466
7,0.0,-0.4743574954874898,-0.2981970205924973,0.0028214930827179362,-0.08623519438274822
8,0.0,-0.5004320119570942,-0.30760285892123934,0.23049361276918076,-0.024396988865770065
9,0.0,-0.6275179686728701,-0.20632823288587473,0.11414793196478629,0.05969484805361482
10,0.0,-0.7274671570917962,-0.35651204360910926,0.050419949004116706,-0.016883047964442635
11,0.0,-0.3749677438326417,-0.22542453490427872,0.2861340829276866,-0.0842768470053964
12,0.0,-0.4481882828482025,-0.23193813918262116,0.167908053424143,-0.10889999068928298
13,0.0,-0.6263453286759268,-0.35513867657135445,0.08583565788952835,-0.2801973010677932
14,0.0,-0.83571701125127,-0.5380478024650094,0.11520294304674122,-0.12191168832788582
15,0.0,-0.47193156797665486,-0.33740538546788484,0.0727821607326092,-0.20581443589400347
16,0.0,-0.42699090502750375,-0.4508426844199115,-0.05443655271939162,-0.18292259309988385
17,0.0,-0.36659570355208926,-0.3157503408790419,-0.05367905134455644,-0.29928805160577865
18,0.0,-0.7187885333456528,-0.5938813318982702,0.09664755675402979,-0.2845093158502469
19,0.0,-0.45888498563963454,-0.17578223961142947,-0.046189018132289435,0.31330717125931146
20,0.0,-0.661852288038142,-0.1278310315853631,0.012134229648663826,0.09565323296047508
21,0.0,-0.2679000319538011,0.009811275653937584,-0.26843396188888424,0.26758568773358443
22,0.0,-0.599782398827993,0.0007824945226002204,0.0037182547835221728,0.028303577694541584
23,0.0,-0.41789479993701384,0.11378690097270129,0.037681319328595746,-0.003648537955598626
24,0.0,-0.44994039168693745,0.0983771974086479,-0.11918478646117545,-0.009418453045811211
