,label,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8
0,0.0,-0.7063357559739384,-0.253192752857043,-0.02409269318192043,0.013263128265838076,0.026579580882887623,-0.07436448595945355,0.0651717951318127,-0.13851902409759162
1,0.0,-0.4849768017717707,-0.008822891420635217,0.2804820475745331,0.07589823854013526,0.23863444661234165,-0.07187730180821666,0.000685560138089682,0.1811933817852754
2,0.0,-0.5211722661289452,-0.18918722167748148,-0.19621673624281571,-0.015783855244711216,-0.04504488192211194,0.08711638807896356,0.12560524940044326,-0.02317846432586535
3,0.0,-0.821643663444924,-0.5809055122572583,-0.08110971721711144,0.012235323224575122,0.004804701894351851,0.08198728639085301,-0.06841816942631301,0.1522533247785683
4,0.0,-0.20254638157095553,-0.059466574015118956,-0.30023994119550995,-0.10205129526055942,-0.10577652859059002,-0.11679048603749762,0.05718831072259489,0.009455402877098857
5,0.0,-0.6081901521202474,-0.4875191910543824,0.07543323207993637,-0.18415227426049455,0.06872971997592417,0.02701089508276441,0.07399284988308946,0.11349826746651026
6,0.0,-0.5440473986436274,-0.3001964969263838,0.105074620940561,-0.04300602506526149,0.2399672617460586,-0.09748039719025324,-0.06116356288640049,-0.10483633665990813
7,0.0,-0.47435749548748973,-0.2981970205924973,0.002821493082717943,-0.08623519438274824,0.06938067264063223,-0.34847892960579924,-0.03428193231382233,0.038330262131085834
8,0.0,-0.5004320119570942,-0.30760285892123934,0.23049361276918073,-0.024396988865770065,0.21972330737973866,0.05962184774951088,-0.04495668581190828,-0.15787845560017041
9,0.0,-0.6275179686728701,-0.20632823288587476,0.1141479319647863,0.05969484805361481,0.04968226149956695,0.08968980469936912,-0.18533130165461337,0.001814857456466227
10,0.0,-0.7274671570917963,-0.35651204360910926,0.050419949004116706,-0.016883047964442635,0.05359553900317737,-0.08149182483144957,0.08805206653718464,-0.0865528965733983
11,0.0,-0.37496774383264175,-0.22542453490427874,0.28613408292768655,-0.08427684700539641,0.09603715575674426,-0.16870452007387074,-0.07236218035063424,-0.10680500192440032
12,0.0,-0.44818828284820256,-0.23193813918262113,0.16790805342414303,-0.10889999068928298,0.1333554163698066,-0.04408917043010555,-0.04063784954766218,0.011210418442925184
13,0.0,-0.6263453286759267,-0.3551386765713545,0.08583565788952827,-0.2801973010677932,0.333349579090439,0.25122158378057785,0.16350822719566613,-0.1628657412506978
14,0.0,-0.8357170112512698,-0.5380478024650094,0.11520294304674124,-0.1219116883278858,0.1577777899653284,0.1946910721966623,0.1992684925269069,-0.03621274144387959
15,0.0,-0.4719315679766548,-0.3374053854678849,0.0727821607326092,-0.20581443589400347,-0.055643987777656494,-0.16947515267662447,-0.0068435106662888875,0.10498128175327069
